id|enun|op1|op2|op3|op4|op5|resp|year|idimg
1|Hombre de 35 años, ex-fumador desde hace 3 meses, que presenta un cuadro de 1 mes de evolución de aumento del número de deposiciones, hasta 15 diarias, blandas, con sangre mezclada, así como molestias abdominales, urgencia defecatoria y tenesmo. En las últimas 48 horas presenta fiebre de hasta 38.5 ºC, motivo por el cual acude a Urgencias. A la exploración destaca presión arterial de 85/50 mmHg y frecuencia cardiaca de 120 lpm. El hemograma muestra una cifra de hemoglobina de 8 g/dL, leucocitos 12.400 por microlitro, plaquetas 435.000 por microlitro. La PCR es de 9 mg/dL. El estudio microbiológico de las heces, incluyendo coprocultivo, examen de parásitos y determinación de toxina de Clostridium difficile es negativo. La endoscopia muestra a lo largo de todo el colon la imagen que se muestra en la imagen nº 1. El examen histológico demuestra la presencia de un proceso inflamatorio crónico, con áreas de infiltración polimorfonuclear, abscesos crípticos y depleción de células caliciformes. ¿Cuál es el tratamiento de primera elección del cuadro clínico que más probablemente presenta el paciente?|Infliximab 5 mg/kg, con dosis posteriores de mantenimiento cada 8 semanas.|Mesalazina 4.5 gramos diarios v.o. y mesalazina 1 gramo diario rectal.|Metilprednisolona 1 mg/kg/día por vía oral si el paciente tolera esta vía.|Azatioprina 2.5 mg/kg/d por vía oral, repartidos en 3 tomas.|Mesalazina 4.5 gramos diarios v.o.|3|2013|1
2|Hombre de 35 años, ex-fumador desde hace 3 meses, que presenta un cuadro de 1 mes de evolución de aumento del número de deposiciones, hasta 15 diarias, blandas, con sangre mezclada, así como molestias abdominales, urgencia defecatoria y tenesmo. En las últimas 48 horas presenta fiebre de hasta 38.5 ºC, motivo por el cual acude a Urgencias. A la exploración destaca presión arterial de 85/50 mmHg y frecuencia cardiaca de 120 lpm. El hemograma muestra una cifra de hemoglobina de 8 g/dL, leucocitos 12.400 por microlitro, plaquetas 435.000 por microlitro. La PCR es de 9 mg/dL. El estudio microbiológico de las heces, incluyendo coprocultivo, examen de parásitos y determinación de toxina de Clostridium difficile es negativo. La endoscopia muestra a lo largo de todo el colon la imagen que se muestra en la imagen. El examen histológico demuestra la presencia de un proceso inflamatorio crónico, con áreas de infiltración polimorfonuclear, abscesos crípticos y depleción de células caliciformes.El paciente estando en remisión clínica y ante la elevación persistente de enzimas de colestasis es diagnosticado 4 años más tarde de colangitis esclerosante primaria mediante colangioresonancia magnética; ¿cuándo debe indicar iniciar un programa de cribado de carcinoma colorrectal mediante colonoscopia anual?|A los 20 años de evolución de la enfermedad.|En el momento del diagnóstico de la colangitis esclerosante.|Entre los 8 y 10 años de evolución de la enfermedad.|A la edad habitual del cribado en la población general, 50 años.|10 años antes de la edad habitual recomendada para el cribado en la población general.|2|2013|2
3|Hombre de 57 años que acude al Servicio de Urgencias por melenas. En endoscopia alta se objetiva a nivel de la segunda porción de duodeno una masa con ulceración de la superficie intestinal en varios puntos. En la imagen radiológica del TAC se objetiva un gran tumor dependiente de intestino delgado, abigarrado, con zonas de necrosis en su interior, con un diámetro mayor de 13 cm. Así mismo se observan múltiples metástasis hepáticas. En la biopsia que se toma durante la gastroscopia, se aprecian células fusiformes con inmunohistoquímica positiva para CD117 (c-Kit). ¿Cuál es el diagnóstico del paciente?|Tumor de Krukemberg|Tumor Neuroendocrino Gastrointestinal (Carcinoide)|Adenocarcinoma de intestino delgado estadio IV|Tumor del estroma gastrointestinal (GIST)|Linfoma gástrico de tipo MALT|4|2013|3
4|Hombre de 57 años que acude al Servicio de Urgencias por melenas. En endoscopia alta se objetiva a nivel de la segunda porción de duodeno una masa con ulceración de la superficie intestinal en varios puntos. En la imagen radiológica del TAC (imagen nº 2) se objetiva un gran tumor dependiente de intestino delgado, abigarrado, con zonas de necrosis en su interior, con un diámetro mayor de 13 cm. Así mismo se observan múltiples metástasis hepáticas. En la biopsia que se toma durante la gastroscopia, se aprecian células fusiformes con inmunohistoquímica positiva para CD117 (c-Kit). ¿cuál es la opción terapéutica más apropiada para el tratamiento sistémico de su tumor?|Imatinib|Lapatinib|Bevacizumab|Doxorrubicina|Cisplatino y paclitaxel|1|2013|4
5|Un hombre de 40 años de origen magrebí consultó por molestias inespecíficas en epigastrio de 6 meses de evolución. No tenía historia de consumo de alcohol. En la exploración presentaba una masa palpable epigástrica como único hallazgo. La serología de virus de hepatitis B y C fue negativa. La ecografía y tomografía computerizada hepáticas realizadas se muestran en la imagen. ¿Qué prueba diagnóstica contribuye a confirmar el diagnóstico?|Determinación de alfa-fetoproteína y antigeno carcinoembrionario|Resonancia magnética nuclear|Serología de Entamoeba histolytica|Biopsia percutánea|Serología de Echinococcus granulosus|5|2013|5
6|Un hombre de 40 años de origen magrebí consultó por molestias inespecíficas en epigastrio de 6 meses de evolución. No tenía historia de consumo de alcohol. En la exploración presentaba una masa palpable epigástrica como único hallazgo. La serología de virus de hepatitis B y C fue negativa. La ecografía y tomografía computerizada hepáticas realizadas se muestran en la imagen. ¿cuál de las siguientes alteraciones es más probable encontrar?|Descenso del índice de Quick|Anemia ferropénica|Elevación marcada de los reactantes de fase aguda|Eosinofilia|Déficit de alfa-1-antitripsina|4|2013|6
7|Dentro del protocolo preoperatorio de un neuroma de Morton en una paciente de 45 años, fumadora de 20 cigarrillos diarios hasta hace tres años, actualmente asintomática, se incluyen las radiografías de tórax que se muestran en la imagen. ¿Cuál es el hallazgo radiológico fundamental en este caso?|Una consolidación pulmonar en lóbulo superior derecho|Una tumoración broncopulmonar central, con adenopatías|Un derrame pleural encapsulado cisural|Una masa mediastínica anterior|Una impactación mucosa de bronquiectasias centrales|2|2013|7
8|¿Cuál es el diagnóstico radiológico más probable en esta imagen?|Un timoma invasivo|Una aspergilosis broncopulmonar alérgica|Un carcinoma indiferenciado de células pequeñas|Un mesotelioma pleural|Una neumonía|3|2013|8
9|Hombre de 28 años, de 185 cm de estatura y peso de 80 Kg, jugador de baloncesto ocasional, fumador de 5 cigarrillos día, acude al servicio de urgencias refiriendo dolor brusco en hemitórax izquierdo y ligera disnea. En la urgencia se le toman las constantes presentando TA 120/80 mm Hg, FC 80 lpm, pulsioximetría 87%, además se le ordena una radiografía de torax. Con respecto al caso anterior ¿cuál es el diagnóstico más probable entre los siguientes?|Disección aórtica|Coartación aórtica|Neumonía izquierda|Derrame pleural izquierdo|Neumotórax|5|2013|9
10|Hombre de 28 años, de 185 cm de estatura y peso de 80 Kg, jugador de baloncesto ocasional, fumador de 5 cigarrillos día, acude al servicio de urgencias refiriendo dolor brusco en hemitórax izquierdo y ligera disnea. En la urgencia se le toman las constantes presentando TA 120/80 mm Hg, FC 80 lpm, pulsioximetría 87%, además se le ordena una radiografía de torax. ¿Cuál es el manejo más indicado?|Colocar tubo intratorácico conectado a drenaje con sello de agua|Iniciar tratamiento con furosemida ya que el paciente esta haciendo un edema agudo de pulmón|Dar de alta al enfermo tras haber cumplido un ciclo de antibióticos y tras mejoría de la consolidación pulmonar izquierda|Puncionar el hemitórax derecho para recoger muestras de líquido pleural|Ingresar al paciente a cirugía vascular porque lo más probable es que tenga un aneurisma aórtico y requiera de cirugía de urgencia|1|2013|10
11|Hombre de 40 años, fumador, con antecedentes de neumotórax espontáneo izquierdo. Consulta por tos no productiva y disnea de mediano esfuerzo de instauración progresiva desde hace 5 meses. La auscultación pulmonar revela algunos estertores crepitantes difusos. Los hallazgos radiológicos se muestran en la imagen ¿Cuál es la primera opción diagnóstica?|Histiocitosis X|Enfisema pulmonar|Linfangioleiomiomatosis|Silicosis|Fibrosis pulmonar idiopática|1|2013|11
12|¿Cuál de los siguientes perfiles espirométricos se ajustará más al cuadro clínico del paciente de esta radiografía?:|Relación FEV1/FVC 60%; FEV1 81%; FVC 120%|Relación FEV1/FVC 57%; FEV1 51%; FVC 85%|Relación FEV1/FVC 79%; FEV1 105%; FVC 98%|Relación FEV1/FVC 77%; FEV1 85%; FVC 82%|Relación FEV1/FVC 85%; FEV1 86%; FVC 65%|5|2013|12
13|Un paciente de 47 años, fumador, con antecedentes de hipercolesterolemia y diabetes, consulta por presentar en las últimas 48 horas intensos episodios de dolor torácico opresivo retroesternal, irradiados a hombros, de unos 15 minutos de duración, en reposo. En el electrocardiograma realizado durante una de las crisis se observa descenso transitorio del segmento ST de 1,5 mm en V2-V5. La analítica no presenta elevación de biomarcadores de necrosis y el ecocardiograma es normal. ¿Cuál es el diagnóstico que motivó la realización de la coronariografía de la imagen?|Angina inestable de bajo riesgo|Infarto agudo de miocardio|Angina inestable de riesgo intermedio o alto|Angina estable|Miocardiopatía de Tako-Tsubo|3|2013|13
14|Respecto a la anatomía coronaria de este paciente, ¿cuál de las siguientes afirmaciones es INCORRECTA?|Si se realiza tratamiento de la estenosis de la descendente anterior con angioplastia e implante de stent fármacoactivo, se debe mantener durante meses un tratamiento antiagregante plaquetario doble, con aspirina asociada a clopidogrel, prasugrel o ticagrelor|El catéter llega a la coronaria izquierda por vía arterial, pudiendo emplearse diversas vías de acceso (femoral, radial...)|El tronco de la coronaria izquierda es normal, sin placas de aterosclerosis|Las lesiones responsables de los síndromes coronarios agudos son placas aterosclerosas que sufren roturas o erosiones|La necesidad de revascularización coronaria, percutánea o quirúrgica, depende de la gravedad de las lesiones, de los síntomas y de la extensión de la isquemia miocárdica|3|2013|14
